sample_id,job,status,reason,Fcm_MPa,c_nom_bottom_mm,c_nom_top_mm,E_MPa,seed,present_ld,present_damage,n_points,n_points_finite,t_final,t_frac_of_target,reached_full_step,U2_max_abs,U2_final,peak_RF2,U2_at_peak,n_points_after_peak,RF2_final,postpeak_drop_frac_max,postpeak_drop_frac_final,softening_captured,k0_N_per_mm,n_pts_for_k0,damage_final,damage_max,damage_U2_at_half_max,damage_at_U2_10mm,damage_monotone,damage_n_points,damage_t_final,n_nan,n_dup_time,n_dup_rows_exact,time_monotone,U2_monotone,damage_n_nan
0,sample_000,valid,reached t=1.000 (>=95% of target); softening captured,35.61188174952634,28.248884010449466,218.1365461140564,32203.357819262907,42,True,True,9884.0,9884.0,1.0,1.0,True,20.0,20.0,41129.6796875,8.473245620727539,7882.0,38993.25390625,0.3686764651970644,0.05194365230856139,True,17330.53630271611,28.0,0.9470000267028807,0.9470000267028807,9.700489044189451,0.9465010050817926,True,199.0,1.0,0.0,0.0,0.0,True,True,0.0
1,sample_001,valid,reached t=1.000 (>=95% of target); softening captured,29.42730175799132,24.49932074139886,224.1063763028816,30412.198301824697,42,True,True,6907.0,6907.0,1.0,1.0,True,20.0,20.0,42689.359375,11.693758010864258,3149.0,19237.91796875,0.711715133015802,0.549350979953655,True,13023.401767206664,192.0,0.9470000267028807,0.9470000267028807,8.901713371276855,0.6771760759312326,True,200.0,1.0,0.0,0.0,0.0,True,True,0.0
2,sample_002,valid,reached t=1.000 (>=95% of target); softening captured,26.760510256084945,29.148296512616696,223.8142244164035,29557.72456656449,42,True,True,7948.0,7948.0,1.0,1.0,True,20.0,20.0,40258.18359375,11.755516052246094,3669.0,18780.35546875,0.691652100043712,0.5335021654661635,True,12511.282362006947,201.0,0.9470000267028807,0.9470000267028807,7.901721000671387,0.9467931967781162,True,200.0,1.0,0.0,0.0,0.0,True,True,0.0
3,sample_003,missing,no rows in load_displacement_full.csv,31.347164414329008,23.461099475728396,218.9710693347221,30994.32333730242,42,False,False,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4,sample_004,missing,no rows in load_displacement_full.csv,26.834934386240533,25.90811322170239,215.07096129168957,29582.361653231543,42,False,False,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5,sample_005,valid,reached t=1.000 (>=95% of target); softening captured,25.27540106811873,26.47938033090163,229.93701211985717,29055.750495103108,42,True,True,9800.0,9800.0,1.0,1.0,True,20.0,20.0,35652.0078125,8.552599906921387,6744.0,19445.947265625,0.7207249898487046,0.4545623526199546,True,14717.600483754626,73.0,0.9470000267028807,0.9470000267028807,8.700652122497559,0.9470000267028807,True,200.0,1.0,0.0,0.0,0.0,True,True,0.0
6,sample_006,valid,reached t=1.000 (>=95% of target); softening captured,31.03718429963205,29.37704126637304,221.0477888196372,30902.05600971221,42,True,True,11150.0,11150.0,1.0,1.0,True,20.0,20.0,43097.26953125,14.318498611450195,5529.0,30565.314453125,0.30466624326639025,0.29078304065268057,True,12084.167999468813,239.0,0.9470000267028807,0.9470000267028807,7.202345371246338,0.9470000267028807,True,200.0,1.0,0.0,0.0,0.0,True,True,0.0
7,sample_007,valid,reached t=1.000 (>=95% of target); softening captured,34.74933088970162,23.726138274809767,223.56856311574435,31967.348436456134,42,True,True,5454.0,5454.0,1.0,1.0,True,20.0,20.0,44025.22265625,13.762011528015137,793.0,19616.509765625,0.7164972990891141,0.554425654611876,True,12718.714029636028,257.0,0.9470000267028807,0.9470000267028807,9.80029010772705,0.5195350942706457,True,199.0,1.0,0.0,0.0,0.0,True,True,0.0
8,sample_008,missing,no rows in load_displacement_full.csv,27.187175831960147,27.127977637958807,220.7149676493327,29698.321856578943,42,False,False,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
9,sample_009,valid,reached t=1.000 (>=95% of target); softening captured,27.235011321884347,25.248036744523844,223.0412643025381,29713.988358320174,42,True,True,11541.0,11541.0,1.0,1.0,True,20.0,20.0,38029.546875,12.643954277038574,6190.0,29128.798828125,0.2718411075105664,0.23404822771438819,True,12488.410564966836,238.0,0.9470000267028807,0.9470000267028807,6.807617664337158,0.9470000267028807,True,200.0,1.0,0.0,0.0,0.0,True,True,0.0
