time,U2,PEEQ_max,DAMAGET_max,DAMAGEC_max,SDEG_max,job_aug
0.0,-0.0,0.0,0.0,0.0,0.0,sample_000
0.0057500000111758,0.1150000020861625,0.0,0.0,0.0,0.0,sample_000
0.0141874998807907,0.2837499976158142,0.0,0.0,0.0,0.0,sample_000
0.021781250834465,0.4356249868869781,0.0,0.0,0.0,0.0,sample_000
0.0289003904908895,0.5780078172683716,0.0,0.0,0.0,0.0,sample_000
0.0305021964013576,0.6100439429283142,2.783518766591442e-07,0.0353262349963188,8.994098607217893e-06,0.0214674994349479,sample_000
0.0352982319891452,0.7059646248817444,1.6126988384712604e-06,0.7886290550231934,5.2109484386164695e-05,0.7176217436790466,sample_000
0.0400129333138465,0.8002586960792542,2.0172815311525483e-06,0.946767032146454,6.518235022667795e-05,0.9134041666984558,sample_000
0.0450532659888267,0.9010653495788574,1.2814223737223074e-05,0.9879999756813048,0.0004140528617426,0.9701667428016664,sample_000
0.0500951223075389,1.001902461051941,7.573269249405712e-05,0.9879999756813048,0.0024470728822052,0.987945795059204,sample_000
0.0551721788942813,1.103443622589111,0.0001168539893114,0.9879999756813048,0.0037757831159979,0.9879998564720154,sample_000
0.0600377582013607,1.20075523853302,0.0001394451828673,0.9879999756813048,0.0045057493261992,0.988000750541687,sample_000
0.065472200512886,1.3094440698623655,0.0001550143642816,0.9879999756813048,0.0050088199786841,0.9880008101463318,sample_000
0.0700478181242942,1.4009562730789185,0.0001707298943074,0.9879999756813048,0.0055166198872029,0.9880008101463318,sample_000
0.0751009732484817,1.5020195245742798,0.0001868526742327,0.9879999756813048,0.0060375789180397,0.9880008101463318,sample_000
0.080132856965065,1.6026570796966553,0.0001993887126445,0.9879999756813048,0.0064426432363688,0.9880054593086244,sample_000
0.0850961580872535,1.7019232511520386,0.0002132135414285,0.9879999756813048,0.0068893507122993,0.988006055355072,sample_000
0.090067371726036,1.8013473749160769,0.0002266689261887,0.9879999756813048,0.0073241204954683,0.988006055355072,sample_000
0.0953683331608772,1.907366752624512,0.0002363585226703,0.9879999756813048,0.0076372106559574,0.988006055355072,sample_000
0.1002631410956382,2.005262851715088,0.0002435882634017,0.9879999756813048,0.0078708175569772,0.9880008101463318,sample_000
0.105216808617115,2.104336261749268,0.0002506574965082,0.9879999756813048,0.0080992383882403,0.9880008101463318,sample_000
0.1103388965129852,2.206778049468994,0.0002562670852057,0.9879999756813048,0.0082804951816797,0.9880008101463318,sample_000
0.1153028532862663,2.30605697631836,0.0002600399893708,0.9879999756813048,0.0084024053066968,0.9880013465881348,sample_000
0.1201706305146217,2.4034125804901123,0.0002702230412978,0.9879999756813048,0.0087314406409859,0.9880014657974244,sample_000
0.1251589655876159,2.50317931175232,0.0002992641238961,0.9879999756813048,0.0096698142588138,0.988004982471466,sample_000
0.130041167140007,2.600823402404785,0.0003263365651946,0.9879999756813048,0.0105445785447955,0.988007426261902,sample_000
0.1353977918624878,2.7079555988311768,0.0003578916366677,0.9879999756813048,0.0115641858428716,0.9880197048187256,sample_000
0.1400327980518341,2.8006558418273926,0.0003823482547886,0.9879999756813048,0.0123544270172715,0.988020956516266,sample_000
0.1453904807567596,2.9078097343444824,0.0004093417082913,0.9879999756813048,0.0132266394793987,0.9880210161209106,sample_000
0.1500324606895446,3.0006492137908936,0.0004337000427767,0.9879999756813048,0.0140137048438191,0.9880301356315612,sample_000
0.1553345918655395,3.106691837310791,0.0004648150352295,0.9879999756813048,0.0150190917775034,0.9880319237709044,sample_000
0.1605003625154495,3.2100071907043457,0.0004969877772964,0.9879999756813048,0.0160586573183536,0.9880319237709044,sample_000
0.1650886386632919,3.3017728328704834,0.000526636140421,0.9879999756813048,0.0170166529715061,0.9880319237709044,sample_000
0.1704158633947372,3.4083173274993896,0.0005606300546787,0.9879999756813048,0.0181150641292333,0.9880319237709044,sample_000
0.1750844717025756,3.5016891956329346,0.0005900363321416,0.9879999756813048,0.0190652385354042,0.9880319237709044,sample_000
0.1802186667919159,3.604373455047608,0.000630896363873,0.9879999756813048,0.0203855074942111,0.9880319237709044,sample_000
0.1855248063802719,3.710496187210083,0.0007010545232333,0.9879999756813048,0.0226524546742439,0.9880319237709044,sample_000
0.1904172003269195,3.8083438873291016,0.0007647964521311,0.9879999756813048,0.0247120838612318,0.9880319237709044,sample_000
0.1950875222682953,3.901750326156616,0.0008185597835108,0.9879999756813048,0.0264492835849523,0.9880319237709044,sample_000
0.2002573311328888,4.005146503448486,0.000876513600815,0.9879999756813048,0.0283218864351511,0.9880319237709044,sample_000
0.2051967084407806,4.103934288024902,0.0009631255525164,0.9879999756813048,0.0311204884201288,0.9880319237709044,sample_000
0.2102297246456146,4.204594612121582,0.0010588789591565,0.9879999756813048,0.0342144705355167,0.9880319237709044,sample_000
0.2152438759803772,4.304877281188965,0.0011359829222783,0.9879999756813048,0.0367058515548706,0.9880319237709044,sample_000
0.2200143635272979,4.40028715133667,0.0012001759605482,0.9879999756813048,0.0387800522148609,0.9880319237709044,sample_000
0.2252150028944015,4.504300117492676,0.0012704458786174,0.9879999756813048,0.0410506166517734,0.9881452918052672,sample_000
0.2304124236106872,4.608248233795166,0.0013359426520764,0.9879999756813048,0.043166946619749,0.9881473183631896,sample_000
0.2351502627134323,4.703005313873291,0.0013910287525504,0.9879999756813048,0.0449468865990638,0.9881473779678344,sample_000
0.2400238960981369,4.800477981567383,0.0014466462889686,0.9879999756813048,0.0467440001666545,0.9881473779678344,sample_000
0.2451205998659134,4.902411937713623,0.0015091275563463,0.9879999756813048,0.0487628914415836,0.9881473779678344,sample_000
0.2502992153167724,5.005984306335449,0.0015879301354289,0.9879999756813048,0.0513091571629047,0.9881473779678344,sample_000
0.2550436556339264,5.100872993469238,0.0016721413703635,0.9879999756813048,0.0588834881782531,0.9881473779678344,sample_000
0.2600778937339782,5.2015581130981445,0.0017665162449702,0.9879999756813048,0.0722810924053192,0.9881473779678344,sample_000
0.265012264251709,5.300245761871338,0.0018587408121675,0.9879999756813048,0.0853734463453292,0.9881473779678344,sample_000
0.2706003487110138,5.412006855010986,0.0019645560532808,0.9879999756813048,0.1003951430320739,0.9881935715675354,sample_000
0.2751916944980621,5.503834247589111,0.002058038720861,0.9879999756813048,0.1137471124529838,0.9880319237709044,sample_000
0.2802071869373321,5.6041436195373535,0.0021562352776527,0.9879999756813048,0.1278175562620163,0.988045573234558,sample_000
0.2853462100028991,5.706923961639404,0.0022492727730423,0.9879999756813048,0.1411487758159637,0.988045871257782,sample_000
0.2901647090911865,5.8032941818237305,0.0023347937967628,0.9879999756813048,0.1534029692411422,0.9881091117858888,sample_000
0.2950976490974426,5.901952743530273,0.0024195280857384,0.9879999756813048,0.1657299697399139,0.988045871257782,sample_000
0.300167441368103,6.0033488273620605,0.0025069010443985,0.9879999756813048,0.1785573959350586,0.988045871257782,sample_000
0.3053551316261291,6.107102870941162,0.0025937517639249,0.9879999756813048,0.1913081258535385,0.988045871257782,sample_000
0.3102204501628876,6.204409122467041,0.0026708610821515,0.9879999756813048,0.2026287317276001,0.988045871257782,sample_000
0.3154471516609192,6.308942794799805,0.0027608389500528,0.9879999756813048,0.2155811190605163,0.988045871257782,sample_000
0.3202843964099884,6.405687808990479,0.0028412847314029,0.9879999756813048,0.2267630994319915,0.988045871257782,sample_000
0.3251926898956299,6.503853797912598,0.0029296700377017,0.9879999756813048,0.2390486598014831,0.988045871257782,sample_000
0.3300620019435882,6.6012396812438965,0.0030167235527187,0.9879999756813048,0.2511491179466247,0.988045871257782,sample_000
0.3350465595722198,6.700931072235107,0.0031006061471998,0.9879999756813048,0.2628087997436523,0.9882264137268066,sample_000
0.3401740491390228,6.803481101989746,0.0031845732592046,0.9879999756813048,0.2746620774269104,0.98822820186615,sample_000
